Fecha,D1_TEMPERATURE,D2_TEMPERATURE,Q-PS_MGD,Q-influent_MGD,Q-TWAS_GPM,Q-HSW1_GPM,Q-HSW2_GPM,V-HSW-DIG2-yest_gal,H-HSW_ft,H-Dig1_FT,H-Dig2_FT,Biogas,Minutos_disponibles,Cobertura_porcentaje,Dia_completo,Tramo,Biogas_actual,Biogas_lag_1,Biogas_lag_2,Biogas_lag_3,Biogas_lag_7,Biogas_media_3d,Biogas_desv_3d,Biogas_media_7d,Biogas_desv_7d,Fecha_objetivo_D1,Biogas_D1,Fecha_objetivo_D3,Biogas_D3,Fecha_objetivo_D7,Biogas_D7,Fecha_objetivo_D15,Biogas_D15,Fecha_objetivo_D30,Biogas_D30
2022-03-18,,,,,,,,,,,,,1439,99.93055555555556,False,1,,,,,,,,,,2022-03-19,132.76769271195138,2022-03-21,120.89693526296111,2022-03-25,177.61411847893748,2022-04-02,106.45460339940277,2022-04-17,70.22915053535972
2022-03-19,95.65414583333333,96.2665902777778,7.4514375,3.246236111111111,9.014652777777778,2.8166458333333333,2.8165,9094.804750000001,6.033729166666666,5.965256944444444,4.460125,132.76769271195138,1440,100.0,True,1,132.76769271195138,,,,,,,,,2022-03-20,117.24074914870833,2022-03-22,163.667547923125,2022-03-26,120.91715803213889,2022-04-03,94.2714528279125,2022-04-18,73.81914888517431
2022-03-20,96.45796527777777,96.55020833333333,7.441993055555555,2.8773750000000002,8.843958333333333,2.8141458333333333,2.8295902777777777,4072.919770833333,4.7058124999999995,5.870076388888889,4.138319444444445,117.24074914870833,1440,100.0,True,1,117.24074914870833,132.76769271195138,,,,,,,,2022-03-21,120.89693526296111,2022-03-23,173.2192935863889,2022-03-27,97.7052289102125,2022-04-04,109.93968971149236,2022-04-19,110.77237001681738
2022-03-21,96.41540277777777,96.51303472222222,6.955680555555555,2.868423611111111,9.039250000000001,7.8349375,8.250555555555556,4070.3593541666664,5.199416666666666,5.982583333333333,4.063673611111111,120.89693526296111,1440,100.0,True,1,120.89693526296111,117.24074914870833,132.76769271195138,,,123.63512570787361,8.117558702497407,,,2022-03-22,163.667547923125,2022-03-24,185.8937191226389,2022-03-28,111.13068057523334,2022-04-05,120.28199060583263,2022-04-20,
2022-03-22,95.85020833333333,96.31009722222223,7.559597222222222,3.402736111111111,9.619194444444444,10.01292361111111,10.04063888888889,11769.109930555553,5.138347222222222,6.140902777777778,4.713826388888889,163.667547923125,1440,100.0,True,1,163.667547923125,120.89693526296111,117.24074914870833,132.76769271195138,,133.93507744493147,25.813887246557815,,,2022-03-23,173.2192935863889,2022-03-25,177.61411847893748,2022-03-29,152.5741552536111,2022-04-06,116.3822181490368,2022-04-21,94.11366739116319
2022-03-23,95.77683333333333,96.12709722222222,7.965187500000001,3.589222222222222,9.740395833333334,9.115319444444443,9.014034722222222,14499.646194444444,4.718756944444444,6.247472222222223,4.896388888888889,173.2192935863889,1440,100.0,True,1,173.2192935863889,163.667547923125,120.89693526296111,117.24074914870833,,152.59459225749166,27.863328148501985,,,2022-03-24,185.8937191226389,2022-03-26,120.91715803213889,2022-03-30,143.4374317740903,2022-04-07,112.4071779633632,2022-04-22,63.387161790945136
2022-03-24,95.9716111111111,96.01174305555556,8.37920138888889,3.3276666666666666,10.48451388888889,7.878229166666666,7.9696875,13020.46923611111,4.760930555555555,6.345555555555555,4.956152777777778,185.8937191226389,1440,100.0,True,1,185.8937191226389,173.2192935863889,163.667547923125,120.89693526296111,,174.26018687738426,11.149585897240874,,,2022-03-25,177.61411847893748,2022-03-27,97.7052289102125,2022-03-31,136.1446009584514,2022-04-08,,2022-04-23,81.59134735555764
2022-03-25,95.442375,95.90404166666667,7.612694444444445,3.107527777777778,9.62442361111111,5.376986111111111,5.169131944444445,11511.028236111111,4.935256944444445,6.298395833333334,5.025069444444445,177.61411847893748,1440,100.0,True,1,177.61411847893748,185.8937191226389,173.2192935863889,163.667547923125,,178.90904372932175,6.435673175476375,153.0428651763873,28.662205606075577,2022-03-26,120.91715803213889,2022-03-28,111.13068057523334,2022-04-01,127.52579364800279,2022-04-09,112.99409750030486,2022-04-24,74.69388909302083
2022-03-26,95.58370833333333,95.36684722222223,7.444833333333333,2.856215277777778,9.261680555555555,2.818923611111111,2.816590277777778,7464.1215763888895,5.128993055555555,5.832868055555555,3.9496527777777777,120.91715803213889,1440,100.0,True,1,120.91715803213889,177.61411847893748,185.8937191226389,173.2192935863889,132.76769271195138,161.47499854457178,35.36724143863569,151.3499316506998,30.359096535822445,2022-03-27,97.7052289102125,2022-03-29,152.5741552536111,2022-04-02,106.45460339940277,2022-04-10,96.62223143649375,2022-04-25,94.10910455242083
2022-03-27,95.3604375,96.28040972222223,7.6501875,2.8446458333333333,10.71401388888889,2.8056666666666668,2.8327430555555555,4071.4457083333336,3.8423263888888886,5.8517986111111115,3.9779861111111114,97.7052289102125,1440,100.0,True,1,97.7052289102125,120.91715803213889,177.61411847893748,185.8937191226389,117.24074914870833,132.07883514042962,41.10711538078263,148.55914304520041,34.61658260791906,2022-03-28,111.13068057523334,2022-03-30,143.4374317740903,2022-04-03,94.2714528279125,2022-04-11,111.5129549276118,2022-04-26,136.8415070895014
