fecha_origen,fecha_objetivo,horizonte_dias,dataset,modelo,real_CFM,predicho_CFM,persistencia_CFM,error_CFM,error_absoluto_CFM,conjunto,media_7d_CFM,fuente
2023-02-05,2023-02-08,3,Operativo,Regresión lineal,126.0,100.19696087004777,62.9,25.803039129952225,25.803039129952225,Prueba,103.65714285714286,LABS diario
2023-02-06,2023-02-09,3,Operativo,Regresión lineal,149.0,101.65477992951003,75.4,47.34522007048997,47.34522007048997,Prueba,103.15714285714286,LABS diario
2023-02-07,2023-02-10,3,Operativo,Regresión lineal,165.6,99.3237498023635,112.1,66.2762501976365,66.2762501976365,Prueba,102.92857142857143,LABS diario
2023-02-08,2023-02-11,3,Operativo,Regresión lineal,131.5,94.82720008779896,126.0,36.67279991220104,36.67279991220104,Prueba,101.9857142857143,LABS diario
2023-02-09,2023-02-12,3,Operativo,Regresión lineal,117.8,81.66735923630213,149.0,36.132640763697864,36.132640763697864,Prueba,103.82857142857144,LABS diario
2023-02-10,2023-02-13,3,Operativo,Regresión lineal,113.2,91.72878963805711,165.6,21.471210361942894,21.471210361942894,Prueba,109.95714285714287,LABS diario
2023-02-11,2023-02-14,3,Operativo,Regresión lineal,134.5,89.78533182867032,131.5,44.71466817132968,44.71466817132968,Prueba,117.5,LABS diario
2023-02-12,2023-02-15,3,Operativo,Regresión lineal,147.8,115.8813103007525,117.8,31.91868969924751,31.91868969924751,Prueba,125.34285714285714,LABS diario
2023-02-13,2023-02-16,3,Operativo,Regresión lineal,119.9,113.89763812273442,113.2,6.002361877265585,6.002361877265585,Prueba,130.74285714285716,LABS diario
2023-02-14,2023-02-17,3,Operativo,Regresión lineal,69.4,116.18543511344998,134.5,-46.78543511344998,46.78543511344998,Prueba,133.94285714285712,LABS diario
2023-02-15,2023-02-18,3,Operativo,Regresión lineal,85.1,112.11660940957003,147.8,-27.016609409570037,27.016609409570037,Prueba,137.05714285714285,LABS diario
2023-02-16,2023-02-19,3,Operativo,Regresión lineal,83.4,92.95006894952198,119.9,-9.550068949521972,9.550068949521972,Prueba,132.9,LABS diario
